"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Earliest Priority Date,Title,Applicants,Inventors,Owners,URL,Document Type,Legal Status
11,US,A1,US 2022/0396762 A1,176-119-799-636-625,2022-12-15,2022,US 202017636259 A,2020-08-21,2019-08-21,GROWING PROGRAMMABLE ENZYME-FUNCTIONALIZED AND SENSE-AND-RESPONSE BACTERIAL CELLULOSE LIVING MATERIALS WITH ENGINEERED MICROBIAL CO-CULTURES,MASSACHUSETTS INST TECHNOLOGY;;IMPERIAL COLLEGE INNOVATIONS LTD,LU TIMOTHY KUAN-TA;;TANG TZU-CHIEH;;OTT WOLFGANG;;ELLIS TOM;;GILBERT CHARLES,,https://lens.org/176-119-799-636-625,Patent Application,PENDING
12,US,A1,US 2021/0158197 A1,038-794-758-325-674,2021-05-27,2021,US 202017104817 A,2020-11-25,2019-11-26,BIOLOGY EXPERIMENT DESIGNS,UNIV CALIFORNIA,COSTELLO ZACHARY;;RADIVOJEVIC TIJANA;;MARTIN HECTOR GARCIA,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2020-12-03),https://lens.org/038-794-758-325-674,Patent Application,PENDING
13,US,A1,US 2022/0262457 A1,100-179-065-796-328,2022-08-18,2022,US 202117175495 A,2021-02-12,2021-02-12,A DEEP LEARNING APPROACH TO CORRELATE CELLULAR MORPHOLOGY AND GENETICS,IBM;;UNIV CALIFORNIA,PASTORE VITO PAOLO;;BIANCO SIMONE;;MARSHALL WALLACE,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2021-02-12);;INTERNATIONAL BUSINESS MACHINES CORPORATION (2021-01-28),https://lens.org/100-179-065-796-328,Patent Application,PENDING
14,CN,A,CN 103789048 A,096-227-662-025-207,2014-05-14,2014,CN 201210417898 A,2012-10-26,2012-10-26,Synthetic biology alcohol oil,LIU DAZHAO,LIU DAZHAO;;DENG ZENGWEI;;LIU CHUANMING;;LI WEI;;XIA TINGFU,,https://lens.org/096-227-662-025-207,Patent Application,DISCONTINUED
15,WO,A2,WO 2010/087964 A2,082-981-586-729-128,2010-08-05,2010,US 2010/0000236 W,2010-01-28,2009-01-28,"COMPOSITIONS FOR TREATMENT AND PREVENTION OF ACNE, METHODS OF MAKING THE COMPOSITIONS, AND METHODS OF USE THEREOF",NANOBIO CORP;;SUTCLIFFE JOYCE A;;CIOTTI SUSAN M;;BAKER JAMES R JR,SUTCLIFFE JOYCE A;;CIOTTI SUSAN M;;BAKER JAMES R JR,,https://lens.org/082-981-586-729-128,Patent Application,PENDING
16,US,A1,US 2010/0226983 A1,005-155-425-380-474,2010-09-09,2010,US 65642110 A,2010-01-28,2009-01-28,"Compositions for treatment and prevention of acne, methods of making the compositions, and methods of use thereof",NANOBIO CORP,SUTCLIFFE JOYCE A;;CIOTTI SUSAN M;;BAKER JR JAMES R,NANOBIO CORPORATION (2010-04-23),https://lens.org/005-155-425-380-474,Patent Application,DISCONTINUED
17,US,A1,US 2012/0064136 A1,170-359-081-283-853,2012-03-15,2012,US 201113229080 A,2011-09-09,2010-09-10,ANTI-AGING AND WRINKLE TREATMENT METHODS USING NANOEMULSION COMPOSITIONS,BAKER JR JAMES R;;CIOTTI SUSAN M;;NANOBIO CORP,BAKER JR JAMES R;;CIOTTI SUSAN M,NANOBIO CORPORATION (2011-09-12),https://lens.org/170-359-081-283-853,Patent Application,DISCONTINUED
18,EP,A1,EP 3576020 A1,011-224-441-586-45X,2019-12-04,2019,EP 18204072 A,2018-11-02,2018-05-30,"METHODS FOR GENERATING SYNTHETIC TRAINING DATA AND FOR TRAINING DEEP LEARNING ALGORITHMS FOR TUMOR LESION CHARACTERIZATION, METHOD AND SYSTEM FOR TUMOR LESION CHARACTERIZATION, COMPUTER PROGRAM AND ELECTRONICALLY READABLE STORAGE MEDIUM",SIEMENS HEALTHCARE GMBH,KATZMANN ALEXANDER;;KRATZKE LISA;;MÜHLBERG ALEXANDER;;SÜHLING MICHAEL,,https://lens.org/011-224-441-586-45X,Patent Application,PENDING
19,WO,A2,WO 2021/194580 A2,148-597-774-037-969,2021-09-30,2021,US 2020/0064695 W,2020-12-11,2019-12-13,RIBOREGULATORS AND METHODS OF USE THEREOF,HARVARD COLLEGE;;MASSACHUSETTS INST TECHNOLOGY,SOENKSEN MARTINEZ LUIS;;ANGENENT-MARI NICOLAAS;;GARRUSS ALEXANDER;;COLLINS JAMES;;CHURCH GEORGE;;COLLINS KATHERINE;;CAMACHO DIOGO,,https://lens.org/148-597-774-037-969,Patent Application,PENDING
20,US,B2,US 10526392 B2,143-443-868-500-041,2020-01-07,2020,US 201515110057 A,2015-01-08,2014-01-08,Synthetic biology-based ADCC technology,1GLOBE BIOMEDICAL CO LTD,LI CHIANG J;;UNNIRAMAN SHYAM,1GLOBE HEALTH INSTITUTE LLC (2016-07-08);;1GLOBE BIOMEDICAL CO. LTD (2018-06-19),https://lens.org/143-443-868-500-041,Granted Patent,ACTIVE
21,US,A1,US 2012/0258487 A1,193-463-702-407-594,2012-10-11,2012,US 201213437727 A,2012-04-02,2011-04-01,MICROFLUIDIC PLATFORM FOR SYNTHETIC BIOLOGY APPLICATIONS,CHANG CHIEH;;BHARADWAJ RAJIV;;SINGH ANUP K;;CHANDRASEKARAN AARTHI;;HILLSON NATHAN J;;UNIV CALIFORNIA;;SANDIA CORP,CHANG CHIEH;;BHARADWAJ RAJIV;;SINGH ANUP K;;CHANDRASEKARAN AARTHI;;HILLSON NATHAN J,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2012-04-11);;SANDIA CORPORATION (2012-04-12),https://lens.org/193-463-702-407-594,Patent Application,ACTIVE
22,US,A1,US 2023/0022775 A1,149-728-658-862-471,2023-01-26,2023,US 202017784899 A,2020-12-11,2019-12-13,RIBOREGULATORS AND METHODS OF USE THEREOF,HARVARD COLLEGE;;MASSACHUSETTS INST TECHNOLOGY,SOENKSEN MARTINEZ LUIS RUBEN;;ANGENENT-MARI NICOLAAS;;GARRUSS ALEXANDER S;;COLLINS JAMES J;;CHURCH GEORGE M;;COLLINS KATHERINE;;CAMACHO DIOGO M,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (2021-07-27);;PRESIDENT AND FELLOWS OF HARVARD COLLEGE (2021-07-27),https://lens.org/149-728-658-862-471,Patent Application,PENDING
23,US,B2,US 10131903 B2,080-137-419-612-153,2018-11-20,2018,US 201213437727 A,2012-04-02,2011-04-01,Microfluidic platform for synthetic biology applications,CHANG CHIEH;;BHARADWAJ RAJIV;;SINGH ANUP K;;CHANDRASEKARAN AARTHI;;HILLSON NATHAN J;;UNIV CALIFORNIA;;SANDIA CORP,CHANG CHIEH;;BHARADWAJ RAJIV;;SINGH ANUP K;;CHANDRASEKARAN AARTHI;;HILLSON NATHAN J,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2012-04-11);;SANDIA CORPORATION (2012-04-12),https://lens.org/080-137-419-612-153,Granted Patent,ACTIVE
24,WO,A9,WO 2021/194580 A9,064-016-887-081-954,2021-11-18,2021,US 2020/0064695 W,2020-12-11,2019-12-13,RIBOREGULATORS AND METHODS OF USE THEREOF,HARVARD COLLEGE;;MASSACHUSETTS INST TECHNOLOGY,SOENKSEN MARTINEZ LUIS;;ANGENENT-MARI NICOLAAS;;GARRUSS ALEXANDER;;COLLINS JAMES;;CHURCH GEORGE;;COLLINS KATHERINE;;CAMACHO DIOGO,,https://lens.org/064-016-887-081-954,Search Report,PENDING
25,WO,A1,WO 2022/160049 A1,199-995-139-753-003,2022-08-04,2022,CA 2022050113 W,2022-01-27,2021-01-27,PROTECTION OF LINEAR DEOXYRIBONUCLEIC ACID FROM EXONUCLEOLYTIC DEGRADATION,GOVERNING COUNCIL UNIV TORONTO,PARDEE KEITH;;NOROUZI MASOUD,,https://lens.org/199-995-139-753-003,Patent Application,PENDING
26,WO,A1,WO 2004/089387 A1,102-936-895-145-020,2004-10-21,2004,BR 2004000043 W,2004-03-29,2003-04-09,"USE OF THE EXTRACTION PROCESS TO OBTAIN EXTRACT, SAP, TINCTURE, PULP AND BY-PRODUCTS FROM ""DICKSONIA SELLOWIANA"" - PRESL - HOOKER 1844 , FOR USING AT THE HUMAN, INDUSTRIAL AND PHARMACOLOGICAL CHEMISTRY, HUMAN AND ANIMAL, MEDICINAL, PHYTOMEDICINAL, NUTRICEUTRIC.",FERREIRA ELZO,FERREIRA ELZO,,https://lens.org/102-936-895-145-020,Patent Application,PENDING
27,US,A1,US 2010/0285082 A1,197-182-600-419-222,2010-11-11,2010,US 23902608 A,2008-10-24,2003-08-22,Integrated Biosensor and Simulation System for Diagnosis and Therapy,FERNANDEZ DENNIS S,FERNANDEZ DENNIS S,,https://lens.org/197-182-600-419-222,Patent Application,ACTIVE
28,EP,A1,EP 3625347 A1,059-677-685-981-003,2020-03-25,2020,EP 18722637 A,2018-05-15,2017-05-18,INDUCIBLE PROMOTER FOR GENE EXPRESSION AND SYNTHETIC BIOLOGY,AGRONOMIQUE INST NAT RECH;;UNIV LIBRE DE BRUXELLES ULB;;UNIV LIEGE,NICAUD JEAN-MARC;;TRASSAERT MARION;;THOMAS STÉPHANE;;FICKERS PATRICK;;VANDERMIES MARIE;;CARLY FRÉDÉRIC,"UNIVERSITE LIBRE DE BRUXELLES (ULB) (2020-06-10);;INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT (2020-06-10);;UNIVERSITE DE LIEGE (2020-06-10)",https://lens.org/059-677-685-981-003,Patent Application,ACTIVE
29,WO,A3,WO 2015/106043 A3,191-540-352-165-743,2015-10-15,2015,US 2015/0010708 W,2015-01-08,2014-01-08,NOVEL SYNTHETIC BIOLOGY-BASED ADCC TECHNOLOGY,GLOBE HEALTH INST LLC 1,LI CHIANG J;;UNNIRAMAN SHYAM,,https://lens.org/191-540-352-165-743,Search Report,PENDING
30,EP,A2,EP 1948803 A2,193-561-840-789-374,2008-07-30,2008,EP 06849438 A,2006-10-12,2005-10-13,MODULAR GENOMES FOR SYNTHETIC BIOLOGY AND METABOLIC ENGINEERING,BC CANCER AGENCY,HOLT ROBERT A,,https://lens.org/193-561-840-789-374,Patent Application,DISCONTINUED
31,WO,A3,WO 2007/110695 A3,131-109-910-418-924,2008-03-13,2008,IB 2006003706 W,2006-10-12,2005-10-13,MODULAR GENOMES FOR SYNTHETIC BIOLOGY AND METABOLIC ENGINEERING,BC CANCER AGENCY;;HOLT ROBERT A,HOLT ROBERT A,,https://lens.org/131-109-910-418-924,Search Report,PENDING
32,US,A1,US 2013/0230555 A1,186-819-042-248-014,2013-09-05,2013,US 201313780805 A,2013-02-28,2012-02-28,SYNTHETIC LIPID BIOLOGY FOR COMBINATORIAL ENGINEERING OF ENDOTOXIN,UNIV TEXAS,TRENT M STEPHEN;;NEEDHAM BRITTANY;;GILES DAVID;;WHITELEY MARVIN,THE BOARD OF REGENTS OF THE UNIVERSITY OF TEXAS SYSTEM (2013-04-26),https://lens.org/186-819-042-248-014,Patent Application,ACTIVE
33,CN,A,CN 106062183 A,001-962-452-852-989,2016-10-26,2016,CN 201580003875 A,2015-01-08,2014-01-08,Novel synthetic biology-based ADCC technology,GLOBE HEALTH INST LLC,LI CHIANG J;;UNNIRAMAN SHYAM,,https://lens.org/001-962-452-852-989,Patent Application,DISCONTINUED
34,WO,A1,WO 2018/210867 A1,098-307-638-187-436,2018-11-22,2018,EP 2018062600 W,2018-05-15,2017-05-18,INDUCIBLE PROMOTER FOR GENE EXPRESSION AND SYNTHETIC BIOLOGY,AGRONOMIQUE INST NAT RECH;;UNIV BRUXELLES;;UNIV LIEGE,NICAUD JEAN-MARC;;TRASSAERT MARION;;THOMAS STÉPHANE;;FICKERS PATRICK;;VANDERMIES MARIE;;CARLY FRÉDÉRIC,,https://lens.org/098-307-638-187-436,Patent Application,PENDING
35,EP,A1,EP 2820133 A1,111-846-227-968-74X,2015-01-07,2015,EP 13709667 A,2013-02-28,2012-02-28,SYNTHETIC LIPID BIOLOGY FOR COMBINATORIAL ENGINEERING OF ENDOTOXIN,UNIV TEXAS,TRENT M STEPHEN;;NEEDHAM BRITTANY;;GILES DAVID;;WHITELEY MARVIN,,https://lens.org/111-846-227-968-74X,Patent Application,ACTIVE
36,EP,B1,EP 3625347 B1,029-545-614-521-381,2021-09-01,2021,EP 18722637 A,2018-05-15,2017-05-18,INDUCIBLE PROMOTER FOR GENE EXPRESSION AND SYNTHETIC BIOLOGY,INSTITUT NATIONAL DE RECH POUR LAGRICULTURE LALIMENTATION ET LENVIRONNEMENT;;UNIV LIBRE DE BRUXELLES ULB;;UNIV LIEGE,NICAUD JEAN-MARC;;TRASSAERT MARION;;THOMAS STÉPHANE;;FICKERS PATRICK;;VANDERMIES MARIE;;CARLY FRÉDÉRIC,"UNIVERSITE LIBRE DE BRUXELLES (ULB) (2020-06-10);;INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT (2020-06-10);;UNIVERSITE DE LIEGE (2020-06-10)",https://lens.org/029-545-614-521-381,Granted Patent,ACTIVE
37,WO,A1,WO 2013/130779 A1,094-803-194-040-667,2013-09-06,2013,US 2013/0028281 W,2013-02-28,2012-02-28,SYNTHETIC LIPID BIOLOGY FOR COMBINATORIAL ENGINEERING OF ENDOTOXIN,UNIV TEXAS,TRENT M STEPHEN;;NEEDHAM BRITTANY;;GILES DAVID;;WHITELEY MARVIN,,https://lens.org/094-803-194-040-667,Patent Application,PENDING
38,CN,B,CN 103044666 B,153-490-455-912-093,2014-07-02,2014,CN 201210548995 A,2012-12-17,2012-12-17,Synthetic method of urushiol biology base resin,ALL CHINA FEDERATION OF SUPPLY AND MARKETING COOPERATIVES XI AN INST OF RAW LACQUER,ZHANG FEILONG;;LI DONGXU,,https://lens.org/153-490-455-912-093,Granted Patent,INACTIVE
39,CA,A1,CA 2865248 A1,164-957-744-248-534,2013-09-06,2013,CA 2865248 A,2013-02-28,2012-02-28,SYNTHETIC LIPID BIOLOGY FOR COMBINATORIAL ENGINEERING OF ENDOTOXIN,UNIV TEXAS,TRENT M STEPHEN;;NEEDHAM BRITTANY;;GILES DAVID;;WHITELEY MARVIN,,https://lens.org/164-957-744-248-534,Patent Application,DISCONTINUED
40,WO,A2,WO 2015/106043 A2,045-883-695-851-295,2015-07-16,2015,US 2015/0010708 W,2015-01-08,2014-01-08,NOVEL SYNTHETIC BIOLOGY-BASED ADCC TECHNOLOGY,GLOBE HEALTH INST LLC 1,LI CHIANG J;;UNNIRAMAN SHYAM,,https://lens.org/045-883-695-851-295,Patent Application,PENDING
41,EP,A2,EP 3092304 A2,067-127-820-512-618,2016-11-16,2016,EP 15734868 A,2015-01-08,2014-01-08,NOVEL SYNTHETIC BIOLOGY-BASED ADCC TECHNOLOGY,1GLOBE BIOMEDICAL CO LTD,LI CHIANG J;;UNNIRAMAN SHYAM,,https://lens.org/067-127-820-512-618,Patent Application,DISCONTINUED
42,US,A1,US 2016/0355566 A1,015-090-813-663-554,2016-12-08,2016,US 201515110057 A,2015-01-08,2014-01-08,Novel Synthetic Biology-Based ADCC Technology,1GLOBE BIOMEDICAL CO LTD,LI CHIANG J;;UNNIRAMAN SHYAM,1GLOBE HEALTH INSTITUTE LLC (2016-07-08);;1GLOBE BIOMEDICAL CO. LTD (2018-06-19),https://lens.org/015-090-813-663-554,Patent Application,ACTIVE
43,US,A1,US 2020/0255493 A1,022-890-007-496-172,2020-08-13,2020,US 201916698703 A,2019-11-27,2014-01-08,Novel Synthetic Biology-Based ADCC Technology,1GLOBE BIOMEDICAL CO LTD,LI CHIANG J;;UNNIRAMAN SHYAM,1GLOBE HEALTH INSTITUTE LLC (2016-07-08);;1GLOBE BIOMEDICAL CO. LTD (2018-06-19),https://lens.org/022-890-007-496-172,Patent Application,DISCONTINUED
44,US,A1,US 2022/0235353 A1,097-481-175-614-485,2022-07-28,2022,US 202217584271 A,2022-01-25,2021-01-26,PROTECTIVE ELEMENTS FOR NUCLEIC ACID SYNTHETIC BIOLOGY,CALIFORNIA INST OF TECHN,HOCHREIN LISA;;LI HEYUN;;MUN EVAN;;ROTHEMUND PAUL W;;PIERCE NILES A,,https://lens.org/097-481-175-614-485,Patent Application,PENDING
45,CA,A1,CA 2935951 A1,125-080-530-685-162,2015-07-16,2015,CA 2935951 A,2015-01-08,2014-01-08,NOVEL SYNTHETIC BIOLOGY-BASED ADCC TECHNOLOGY,1GLOBE BIOMEDICAL CO LTD,LI CHIANG J;;UNNIRAMAN SHYAM,,https://lens.org/125-080-530-685-162,Patent Application,DISCONTINUED
46,US,A1,US 2020/0149055 A1,175-658-998-770-110,2020-05-14,2020,US 201816612042 A,2018-05-15,2017-05-18,INDUCIBLE PROMOTER FOR GENE EXPRESSION AND SYNTHETIC BIOLOGY,AGRONOMIQUE INST NAT RECH;;UNIV BRUXELLES;;UNIV LIEGE,NICAUD JEAN-MARC;;TRASSAERT MARION;;THOMAS STEPHANE;;FICKERS PATRICK;;VANDERMIES MARIE;;CARLY FREDERIC,INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE (2019-12-16);;INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE L'ALIMENTATION ET L'ENVIRONNEMENT (2019-10-10);;UNIVERSITE LIBRE DE BRUXELLES (2019-12-16);;UNIVERSITE DE LIEGE (2019-12-16),https://lens.org/175-658-998-770-110,Patent Application,PENDING
47,WO,A2,WO 2007/110695 A2,035-346-637-737-658,2007-10-04,2007,IB 2006003706 W,2006-10-12,2005-10-13,MODULAR GENOMES FOR SYNTHETIC BIOLOGY AND METABOLIC ENGINEERING,BC CANCER AGENCY;;HOLT ROBERT A,HOLT ROBERT A,,https://lens.org/035-346-637-737-658,Patent Application,PENDING
48,US,A1,US 2008/0286871 A1,060-661-129-601-531,2008-11-20,2008,US 98684307 A,2007-11-27,2006-10-12,Modular genomes for synthetic biology and metabolic engineering,HOLT ROBERT A,HOLT ROBERT A,BC CANCER AGENCY (2007-11-23),https://lens.org/060-661-129-601-531,Patent Application,DISCONTINUED
49,CN,A,CN 111440813 A,098-135-136-884-84X,2020-07-24,2020,CN 202010267947 A,2015-01-08,2014-01-08,Novel synthetic biology-based ADCC technology,1GLOBE BIOMEDICAL BEIJING CO LTD,LI CHIANG J;;UNNIRAMAN SHYAM,,https://lens.org/098-135-136-884-84X,Patent Application,PENDING
50,CN,A,CN 103044666 A,130-461-018-207-532,2013-04-17,2013,CN 201210548995 A,2012-12-17,2012-12-17,Synthetic method of urushiol biology base resin,ALL CHINA FEDERATION OF SUPPLY AND MARKETING COOPERATIVES XI AN INST OF RAW LACQUER,ZHANG FEILONG;;LI DONGXU,,https://lens.org/130-461-018-207-532,Patent Application,INACTIVE
51,AU,A1,AU 2015/204729 A1,197-611-633-937-889,2016-07-21,2016,AU 2015/204729 A,2015-01-08,2014-01-08,Novel synthetic biology-based ADCC technology,1GLOBE BIOMEDICAL CO LTD,LI CHIANG J;;UNNIRAMAN SHYAM,,https://lens.org/197-611-633-937-889,Patent Application,DISCONTINUED
52,EP,B1,EP 2820133 B1,130-308-493-585-769,2017-08-02,2017,EP 13709667 A,2013-02-28,2012-02-28,SYNTHETIC LIPID BIOLOGY FOR COMBINATORIAL ENGINEERING OF ENDOTOXIN,UNIV TEXAS,TRENT M STEPHEN;;NEEDHAM BRITTANY;;GILES DAVID;;WHITELEY MARVIN,,https://lens.org/130-308-493-585-769,Granted Patent,ACTIVE
53,US,B2,US 8945587 B2,021-580-667-851-547,2015-02-03,2015,US 201313780805 A,2013-02-28,2012-02-28,Synthetic lipid biology for combinatorial engineering of endotoxin,UNIV TEXAS;;UNIV TEXAS,TRENT M STEPHEN;;NEEDHAM BRITTANY;;GILES DAVID;;WHITELEY MARVIN,THE BOARD OF REGENTS OF THE UNIVERSITY OF TEXAS SYSTEM (2013-04-26),https://lens.org/021-580-667-851-547,Granted Patent,ACTIVE
54,US,A1,US 2007/0243617 A1,144-334-940-490-719,2007-10-18,2007,US 54660906 A,2006-10-12,2005-10-13,Modular genomes for synthetic biology and metabolic engineering,HOLT ROBERT A,HOLT ROBERT A,BC CANCER AGENCY (2006-10-04),https://lens.org/144-334-940-490-719,Patent Application,DISCONTINUED
55,WO,A2,WO 2022/164798 A2,091-075-669-122-614,2022-08-04,2022,US 2022/0013698 W,2022-01-25,2021-01-26,PROTECTIVE ELEMENTS FOR NUCLEIC ACID SYNTHETIC BIOLOGY,CALIFORNIA INST OF TECHN,HOCHREIN LISA;;LI HEYUN;;MUN EVAN;;ROTHEMUND PAUL;;PIERCE NILES,,https://lens.org/091-075-669-122-614,Patent Application,PENDING
56,CA,A1,CA 2625262 A1,038-434-000-646-862,2007-10-04,2007,CA 2625262 A,2006-10-12,2005-10-13,MODULAR GENOMES FOR SYNTHETIC BIOLOGY AND METABOLIC ENGINEERING,BC CANCER AGENCY,HOLT ROBERT A,,https://lens.org/038-434-000-646-862,Patent Application,DISCONTINUED
57,KR,A,KR 20160105882 A,117-731-132-621-063,2016-09-07,2016,KR 20167021323 A,2015-01-08,2014-01-08,NOVEL SYNTHETIC BIOLOGY-BASED ADCC TECHNOLOGY,1GLOBE BIOMEDICAL CO LTD,LI CHIANG J;;UNNIRAMAN SHYAM,,https://lens.org/117-731-132-621-063,Patent Application,DISCONTINUED
58,EP,A4,EP 1948803 A4,134-150-128-938-819,2009-11-25,2009,EP 06849438 A,2006-10-12,2005-10-13,MODULAR GENOMES FOR SYNTHETIC BIOLOGY AND METABOLIC ENGINEERING,BC CANCER AGENCY,HOLT ROBERT A,,https://lens.org/134-150-128-938-819,Search Report,DISCONTINUED
59,EP,A1,EP 3404104 A1,198-721-152-857-945,2018-11-21,2018,EP 17305575 A,2017-05-18,2017-05-18,INDUCIBLE PROMOTER FOR GENE EXPRESSION AND SYNTHETIC BIOLOGY,INST NAT DE LA RECH AGRONOMIQUE INRA;;UNIV LIBRE DE BRUXELLES ULB;;UNIV LIEGE,NICAUD JEAN-MARC;;TRASSAERT MARION;;THOMAS STÉPHANE;;FICKERS PATRICK;;VANDERMIES MARIE;;CARLY FRÉDÉRIC,,https://lens.org/198-721-152-857-945,Patent Application,DISCONTINUED
