"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Earliest Priority Date,Title,Applicants,Inventors,Owners,URL,Legal Status
31,CN,A,CN 115678908 A,186-714-852-363-240,2023-02-03,2023,CN 202110841095 A,2021-07-24,2021-07-24,Bacillus subtilis polygene modular assembly and expression plasmid pBsubPB02 and construction method thereof,UNIV ZHENGZHOU,XU JINGLIANG;;LV YONGKUN;;ZHANG HUI;;REN JING;;ZHU LIJUAN;;YING HANJIE;;XIONG WENLONG;;ALAMU;;WANG SHIYUAN;;YU GAOTIAN,,https://lens.org/186-714-852-363-240,PENDING
32,CN,A,CN 114507685 A,166-402-678-010-790,2022-05-17,2022,CN 202210218296 A,2022-03-04,2022-03-04,Bacillus subtilis polygene modular assembly and inducible expression plasmid and construction method thereof,UNIV ZHENGZHOU,LV YONGKUN;;XU JINGLIANG;;REN JING;;ZHANG HUI;;ZHU LIJUAN;;XIONG WENLONG;;ALAMU;;QU LINGBO;;YING HANJIE;;WANG SHIYUAN;;YU GAOTIAN,,https://lens.org/166-402-678-010-790,PENDING
33,WO,A1,WO 2003/082989 A1,169-054-836-919-918,2003-10-09,2003,IN 0300070 W,2003-03-24,2002-03-28,"A NATURAL NON-POLAR FLUORESCENT DYE FROM A NON-BIOLUMINESCENT MARINE INVERTEBRATE, COMPOSITIONS CONTAINING THE SAID DYE AND ITS USES",COUNCIL SCIENT IND RES;;GOSWAMI USHA;;GANGULY ANUTOSH,GOSWAMI USHA;;GANGULY ANUTOSH,,https://lens.org/169-054-836-919-918,PENDING
34,US,A1,US 2003/0096988 A1,061-780-526-638-897,2003-05-22,2003,US 23432202 A,2002-09-05,2001-09-05,Multiple fluorescent natural dye compound from a marine organism,GOSWAMI USHA;;GANGULY ANUTOSH,GOSWAMI USHA;;GANGULY ANUTOSH,COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH (2002-11-11),https://lens.org/061-780-526-638-897,EXPIRED
35,CN,A,CN 102776245 A,053-383-190-397-268,2012-11-14,2012,CN 201210262830 A,2012-07-27,2012-07-27,"Preparation method of 1,3-propylene glycol",UNIV XIAMEN,BAISHAN FANG;;SHUAI CHI,,https://lens.org/053-383-190-397-268,ACTIVE
36,CN,A,CN 114933641 A,117-425-325-144-747,2022-08-23,2022,CN 202210349090 A,2022-04-01,2022-04-01,FruR protein as well as screening method and application thereof,HENAN JIANKANGYUAN BIOMEDICAL RES INSTITUTE CO LTD,CHEN MINLIANG;;LIANG HENGYU;;XIE GUOAN;;LIU YONGYU;;HAN CHAO;;ZHOU PENG;;FAN ZILING;;XING ZHIWEI;;ZHANG HAO,,https://lens.org/117-425-325-144-747,PENDING
37,US,A1,US 2019/0153403 A1,113-132-767-145-11X,2019-05-23,2019,US 201716090535 A,2017-03-31,2016-04-01,ENZYME AND APPLICATION THEREOF,UNIV SHANGHAI JIAOTONG,XU PING;;TANG HONGZHI;;ZHANG KUNZHI;;WU GENG;;TAO FEI,SHANGHAI JIAO TONG UNIVERSITY (2018-10-11),https://lens.org/113-132-767-145-11X,ACTIVE
38,EP,B1,EP 1423478 B1,141-092-422-281-185,2005-11-16,2005,EP 02760551 A,2002-09-06,2001-09-06,FLUORESCENT NATURAL DYE FROM A MARINE ORGANISM,COUNCIL SCIENT IND RES,GOSWAMI USHA;;GANGULY A,,https://lens.org/141-092-422-281-185,EXPIRED
39,WO,A1,WO 2014/197616 A1,167-394-381-547-043,2014-12-11,2014,US 2014/0040938 W,2014-06-04,2013-06-04,REPEATED ADMINISTRATION OF NON-IMMUNOSUPRESSIVE ANTIGEN SPECIFIC IMMUNOTHERAPEUTICS,SELECTA BIOSCIENCES INC,MALDONADO ROBERTO A;;KISHIMOTO TAKASHI KEI,,https://lens.org/167-394-381-547-043,PENDING
40,CN,A,CN 109554377 A,161-742-946-114-449,2019-04-02,2019,CN 201811484589 A,2018-12-06,2018-12-06,"Euphorbia pekinensis diterpenoid compound synthetic gene CYP726A33, protein coded by synthetic gene CYP726A33 and application of synthetic gene CYP726A33",UNIV JIANGSU NORMAL,JIANG JIHONG;;CAO XIAOYING;;WANG JINGYI;;ZHANG FANGZHOU,,https://lens.org/161-742-946-114-449,DISCONTINUED
41,CN,A,CN 106987592 A,011-800-833-603-821,2017-07-28,2017,CN 201710224701 A,2017-04-07,2017-04-07,Method for inhibiting pear seed gibberellin synthetic gene expression,UNIV YANGZHOU,WANG CHUNLEI;;SUN YA;;LIU ZHENGYANG;;ZHANG PANPAN;;HUANG XU,,https://lens.org/011-800-833-603-821,ACTIVE
42,US,A1,US 2019/0370969 A1,153-116-019-165-220,2019-12-05,2019,US 201916417754 A,2019-05-21,2018-05-30,"METHODS FOR GENERATING SYNTHETIC TRAINING DATA AND FOR TRAINING DEEP LEARNING ALGORITHMS FOR TUMOR LESION CHARACTERIZATION, METHOD AND SYSTEM FOR TUMOR LESION CHARACTERIZATION, COMPUTER PROGRAM AND ELECTRONICALLY READABLE STORAGE MEDIUM",SIEMENS HEALTHCARE GMBH,KATZMANN ALEXANDER;;KRATZKE LISA;;MUEHLBERG ALEXANDER;;SUEHLING MICHAEL,SIEMENS HEALTHCARE GMBH (2019-06-05);;ISO SOFTWARE SYSTEME GMBH (2019-06-05),https://lens.org/153-116-019-165-220,ACTIVE
43,RU,C2,RU 2356943 C2,091-265-991-344-706,2009-05-27,2009,RU 2005132603 A,2004-03-19,2003-03-24,"NUCLEIC ACID MOLECULE ENCODING HPV 31 L1, EXPRESSION VECTOR, HOST CELL, VIRUS-LIKE PARTICLE AND METHOD OF ITS OBTAINMENT, VACCINE, PHARMACEUTICAL COMPOSITION AND METHODS INVOLVING THEM",MERCK & CO INC,JANSEN KATRIN U;;SHUL TS LOREN D;;NIPER MAJKL P;;MARKUS GENRI Z,,https://lens.org/091-265-991-344-706,ACTIVE
44,US,B2,US 10989651 B2,136-161-529-820-893,2021-04-27,2021,US 201515314034 A,2015-05-28,2014-05-28,Molecular detection system,UNIV BIRMINGHAM,DAFFORN TIMOTHY;;HICKS MATTHEW,THE UNIVERSITY OF BIRMINGHAM (2016-12-08),https://lens.org/136-161-529-820-893,ACTIVE
45,WO,A1,WO 2016/098041 A1,044-981-955-916-52X,2016-06-23,2016,IB 2015059724 W,2015-12-17,2014-12-18,ESTABLISHMENT AND USE OF AN IN VITRO PLATFORM FOR EMT,SAARUM SCIENCES PRIVATE LTD,GANDHARI MUKESH KUMAR;;RAGAMOUNI SRAVANTHI;;KULOTHUNGAN PREETHI;;RAJAN PRITHI;;KHANDRIKA LAKSHMIPATHI;;SHRAVAGE BHUPENDRA VINAYAK;;JAIN JUGNU;;NATARAJAN SREEVATSA GOPINATH,,https://lens.org/044-981-955-916-52X,PENDING
46,WO,A1,WO 2016/057607 A1,101-041-780-430-733,2016-04-14,2016,US 2015/0054378 W,2015-10-07,2014-10-08,MICRONIZED HYDROPHILIC CROSS-LINKED BIOPOLYMER SYSTEMS AND METHOD OF MAKING SAME,VOIGT ANDREAS;;LEHMANN SONJA;;DOBRANIS MARIANA;;ASSOGBA-ZANDT ANNETTE;;THERAKINE,VOIGT ANDREAS;;LEHMANN SONJA;;DOBRANIS MARIANA;;ASSOGBA-ZANDT ANNETTE,,https://lens.org/101-041-780-430-733,PENDING
47,EP,A1,EP 1661584 A1,117-411-114-220-706,2006-05-31,2006,EP 04028084 A,2004-11-26,2004-11-26,Use of conjugates of amatoxins and phallotoxins with macromolecules for cancer and inflammation therapy,FAULSTICH HEINZ DR,FAULSTICH HEINZ DR;;FAULSTICH DORIAN DR;;ANDERL JAN DR,,https://lens.org/117-411-114-220-706,DISCONTINUED
48,US,A1,US 2015/0368625 A1,124-885-984-402-122,2015-12-24,2015,US 201314388190 A,2013-03-27,2012-03-27,ARTIFICIAL SIGMA FACTORS BASED ON BISECTED T7 RNA POLYMERASE,MASSACHUSETTS INST TECHNOLOGY,SEGALL-SHAPIRO THOMAS H;;VOIGT CHRISTOPHER,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (2015-01-14),https://lens.org/124-885-984-402-122,DISCONTINUED
49,CN,A,CN 103540561 A,191-486-433-575-838,2014-01-29,2014,CN 201310499812 A,2013-10-22,2013-10-22,Genetically engineered bacterium for producing resveratrol and construction method thereof,UNIV JIANGNAN,CHEN JIAN;;ZHOU JINGWEN;;WU JUNJUN;;DU GUOCHENG,,https://lens.org/191-486-433-575-838,DISCONTINUED
50,WO,A1,WO 2000/064437 A1,092-621-696-892-907,2000-11-02,2000,US 0010849 W,2000-04-21,1999-04-22,LONG TERM ADMINISTRATION OF PHARMACOLOGICALLY ACTIVE AGENTS,AMERICAN BIOSCIENCES;;SOON SHIONG PATRICK;;DESAI NEIL P,SOON-SHIONG PATRICK;;DESAI NEIL P,,https://lens.org/092-621-696-892-907,PATENTED
51,EP,B1,EP 3149197 B1,123-151-182-011-817,2020-02-19,2020,EP 15727439 A,2015-05-28,2014-05-28,IMPROVED MOLECULAR DETECTION METHOD,UNIV BIRMINGHAM,DAFFORN TIMOTHY;;HICKS MATTHEW,,https://lens.org/123-151-182-011-817,ACTIVE
52,CN,A,CN 108611358 A,067-479-159-834-006,2018-10-02,2018,CN 201810313698 A,2018-04-10,2018-04-10,Method for preparing isoniazid nicotinamide adenine dinucleotide by synthetic biology,UNIV FOSHAN,WANG XUDE;;ZHOU YAFENG;;BI LIJUN;;ZHOU YING;;ZHANG XIAOLI,,https://lens.org/067-479-159-834-006,PENDING
53,US,B2,US 11597935 B2,096-754-772-181-467,2023-03-07,2023,US 201716348445 A,2017-11-10,2016-11-10,Building designer RNA nano-structures for synthetic biology applications,BAYLOR COLLEGE MEDICINE,YEN LAISING,BAYLOR COLLEGE OF MEDICINE (2017-02-28),https://lens.org/096-754-772-181-467,ACTIVE
54,WO,A1,WO 2013/090818 A1,075-115-666-668-957,2013-06-20,2013,US 2012/0069914 W,2012-12-14,2011-12-16,MULTISCALE PLATFORM FOR COORDINATING CELLULAR ACTIVITY USING SYNTHETIC BIOLOGY,UNIV CALIFORNIA;;PRINDLE ARTHUR;;SAMAYOA PHILLIP;;HASTY JEFF,PRINDLE ARTHUR;;SAMAYOA PHILLIP;;HASTY JEFF,,https://lens.org/075-115-666-668-957,PENDING
55,MY,A,MY 188478 A,120-615-552-468-798,2021-12-13,2021,MY PI2016703909 A,2016-10-25,2016-10-25,SYNTHETIC BIOLOGY BIOSENSOR (CYCSENSOR) FOR THE DISCOVERY OF QUORUM SENSING INHIBITORS,UNIV MALAYA U M,CHAN KOK GAN;;YIN WAI FONG;;CHANG CHIEN YI,,https://lens.org/120-615-552-468-798,ACTIVE
56,WO,A1,WO 2019/094969 A1,138-194-175-286-630,2019-05-16,2019,US 2018/0060831 W,2018-11-13,2017-11-13,"COMPOSITIONS, SYSTEMS, KITS, AND METHODS FOR MODIFYING RNA",SYNTHETIC GENOMICS INC,MANTOVANI SIMONE;;MONDS RUSSELL D;;LAFAVE MATTHEW C;;BROWN ROBERT C,,https://lens.org/138-194-175-286-630,PENDING
57,CN,A,CN 109517830 A,099-613-387-499-081,2019-03-26,2019,CN 201811484590 A,2018-12-06,2018-12-06,"Radix euphorbiae pekinensis diterpenoid compound synthetic gene CYP71D452, and encoded protein and application thereof",UNIV JIANGSU NORMAL,CAO XIAOYING;;JIANG JIHONG;;WANG JINGYI;;ZHANG FANGZHOU,,https://lens.org/099-613-387-499-081,DISCONTINUED
58,WO,A1,WO 2022/056418 A1,171-477-203-226-130,2022-03-17,2022,US 2021/0050126 W,2021-09-13,2020-09-14,METHODS AND COMPOSITIONS FOR NUCLEIC ACID ASSEMBLY,CHEE MARK S,CHEE MARK S,,https://lens.org/171-477-203-226-130,PENDING
59,EP,B1,EP 2670426 B1,137-793-925-946-422,2017-05-10,2017,EP 12742373 A,2012-01-31,2011-01-31,MULTIMODAL TRAIL MOLECULES AND USES IN CELLULAR THERAPIES,MASSACHUSETTS GEN HOSPITAL,SHAH KHALID,,https://lens.org/137-793-925-946-422,ACTIVE
60,WO,A2,WO 2020/209797 A2,181-996-124-328-531,2020-10-15,2020,SG 2020050216 W,2020-04-08,2019-04-08,USING SYNTHETIC LIXIVIANT BIOLOGY FOR THE RECOVERY OF PRECIOUS AND TOXIC METALS FROM ANTHROPOGENIC SOURCES,NAT UNIV SINGAPORE,YEW WEN SHAN;;GO MAYBELLE DARLENE KHO;;LIOW LU TING;;RAJASABHAI RASHMI,,https://lens.org/181-996-124-328-531,PENDING
61,RU,C1,RU 2160569 C1,118-006-241-402-104,2000-12-20,2000,RU 99108900 A,1999-04-21,1999-04-21,BASE FOR MICROINJECTION BUFFER FOR CULTURING TRANSGENIC ANIMALS,VRNII Z;;HIVOTNOVODSTVA,ZINOV EVA N A;;EHRNST L K;;BREM GOTTFRID,,https://lens.org/118-006-241-402-104,EXPIRED
62,RU,A,RU 94034733 A,003-645-982-811-926,1996-06-10,1996,RU 94034733 A,1992-08-21,1991-09-06,"METHOD OF PREPARING, CLONING AND EXPRESSION OF GENE, GENES, IMMUNOTOXINS, GENE PRODUCTS, DNA, CELL, METHOD OF GENE VERIFICATION AND A METHOD OF MUTATION CORRECTION",RES DEV FOUNDATION,MAJKL G ROZENBLJUM;;KENNET L BITTI,,https://lens.org/003-645-982-811-926,EXPIRED
63,US,A1,US 2013/0252280 A1,108-862-805-266-849,2013-09-26,2013,US 201313789668 A,2013-03-07,2012-03-07,METHOD AND APPARATUS FOR IDENTIFICATION OF BIOMOLECULES,GENFORMATIC LLC,WEAVER DANIEL B;;REESE JUSTIN T,GENFORMATIC LLC (2013-06-10),https://lens.org/108-862-805-266-849,DISCONTINUED
64,WO,A1,WO 2019/082118 A1,032-750-045-054-592,2019-05-02,2019,IB 2018058332 W,2018-10-25,2017-10-27,A GRAPH-BASED CONSTANT-COLUMN BICLUSTERING DEVICE AND METHOD FOR MINING GROWTH PHENOTYPE DATA,UNIV KING ABDULLAH SCI & TECH,GAO XIN;;ALZAHRANI MAJED ATEAH,,https://lens.org/032-750-045-054-592,PENDING
65,WO,A1,WO 2016/025719 A1,176-279-609-716-468,2016-02-18,2016,US 2015/0045069 W,2015-08-13,2014-08-15,GENOMICALLY-ENCODED MEMORY IN LIVE CELLS,MASSACHUSETTS INST TECHNOLOGY,LU TIMOTHY KUAN-TA;;FARZADFARD FAHIM,,https://lens.org/176-279-609-716-468,PENDING
